t,ax,ay,yawRate,steer,t_sec,yaw,yaw_rad,ax_world,ay_world,angular_accel,is_drift
2874,0.0332,0.626,-0.061,3164,2.874,0.868018900000007,0.0151497877745395,0.0237127857345831,0.6264311165584814,-0.564814814814812,0
2927,-0.0467,0.5879,0.8537,3144,2.927,0.913265000000007,0.0159394811932261,-0.056064491855449,0.5870809763167175,17.258490566037757,0
2981,-0.0364,0.5934,0.5793,3112,2.981,0.9445472000000068,0.0164854585804935,-0.0461770819218413,0.5927193240524419,-5.0814814814814975,0
3036,-0.033,0.5805,0.4268,3070,3.036,0.968021200000007,0.0168951571691066,-0.0428024623983956,0.5798596375094873,-2.772727272727265,0
3089,-0.0134,0.5837,-1.128,2990,3.089,0.9082372000000072,0.0158517295290943,-0.0226505835110964,0.5834142619670921,-29.33584905660381,0
3143,0.0697,0.6388,-2.7439,2980,3.143,0.7600666000000076,0.0132656647044388,0.0612200091886557,0.6396683832072216,-29.924074074074174,0
3197,-0.0678,0.5982,0.7622,2980,3.197,0.8012254000000077,0.0139840212806087,-0.0761583397579622,0.5971934253533865,64.92777777777745,0
3252,-0.0533,0.6232,0.5793,2992,3.252,0.8330869000000076,0.0145401093602328,-0.0623554427665291,0.6223591637932151,-3.3254545454545617,0
3305,0.0431,0.6479,0.0,2992,3.305,0.8330869000000076,0.0145401093602328,0.0336752391738706,0.6484581700206904,-10.930188679245203,0
3359,-0.4041,0.4958,0.7317,2978,3.359,0.8725987000000075,0.0152297203636223,-0.4116037400050747,0.4895884100076664,13.550000000000043,0
3414,-0.7916,1.5861,4.2683,2992,3.414,1.1073552000000082,0.0193269942290804,-0.8221047975268193,1.570505482920511,64.30181818181799,0
3468,-0.7157,2.1203,7.1646,2992,3.468,1.494243600000007,0.0260794706468532,-0.7707466597611579,2.100916030322729,53.63518518518536,0
3521,-1.0442,2.3767,5.1524,2978,3.521,1.767320800000007,0.0308455668989803,-1.1170023220397538,2.3433656015564024,-37.9660377358491,0
3575,-1.374,2.7302,10.3049,2978,3.575,2.323785400000009,0.0405577063397736,-1.4835703847049329,2.6722438050496926,95.4166666666662,0
3630,-0.9948,3.8505,1.2805,2992,3.63,2.394212900000009,0.0417868980987219,-1.1547852232263045,3.8055812142454895,-164.08000000000084,1
3683,-1.1071,3.6234,-3.5061,2992,3.683,2.2083896000000096,0.0385436696868007,-1.2459022952864038,3.5780477135723148,-90.31320754716992,0
3737,-1.7869,3.685,10.3963,2978,3.737,2.7697898000000123,0.0483419515981554,-1.9628831795492565,3.5943464264651235,257.45185185185056,1
3791,-1.5071,3.5312,8.8415,2992,3.791,3.2472308000000107,0.0566748690321696,-1.7047033914306944,3.440161362094036,-28.79259259259269,0
3846,-2.1111,3.5504,2.7134,3036,3.846,3.396467800000011,0.0592795460479684,-2.317734671924124,3.4190918912133337,-111.41999999999967,1
3899,-2.0184,3.7104,8.1707,3086,3.899,3.8295149000000106,0.0668376437591815,-2.261703100210107,3.567310724691639,102.967924528302,1
3953,-1.8934,3.9399,1.0671,3192,3.953,3.8871383000000095,0.0678433618153752,-2.1561353345618794,3.802480241770328,-131.54814814814858,1
4007,-2.4427,3.942,26.311,3246,4.007,5.307932300000006,0.0926408951079555,-2.796893727347373,3.6991259464804553,467.4796296296311,1
4061,-2.4244,3.4553,37.622,3312,4.061,7.339520300000016,0.1280987947519622,-2.8459460752539645,3.11727515416053,209.4629629629619,1
4115,-2.674,3.164,46.4329,3364,4.115,9.84689690000003,0.1718607720094233,-3.1757019388440435,2.660091952474985,163.16481481481392,1
4169,-3.7352,2.7817,56.5244,3554,4.169,12.899214499999994,0.225133763945994,-4.261917118649342,1.8776678097479549,186.87962962963184,0
4224,-3.7739,2.7214,67.5305,3722,4.224,16.613392000000033,0.2899583903244863,-4.394443338436484,1.5287926331818875,200.11090909090697,0
4277,-3.4348,2.6881,86.8293,3766,4.277,21.215344900000023,0.3702776204511876,-4.174767191949756,1.262953499943665,364.1283018867929,0
4331,-3.695,1.7161,100.8232,3782,4.331,26.659797700000052,0.4653012477806124,-4.072171805661756,-0.1242618009424931,259.14629629629496,0
4385,-3.624,1.7359,119.0549,3782,4.385,33.088762299999985,0.5775078475447715,-3.98397389332398,-0.5240962004374479,337.624074074078,0
4439,-4.1121,1.5467,138.9329,3790,4.439,40.59113890000002,0.7084490209393497,-4.128984218812661,-1.5010451761342811,368.111111111109,0
4493,-3.8839,0.8466,152.6829,3776,4.493,48.83601550000006,0.8523492640299859,-3.193791426862287,-2.366665817495355,254.6296296296284,1
4547,-4.0926,0.4599,170.3354,3772,4.547,58.03412709999995,1.0128865964158675,-2.556842340587296,-3.228535273987273,326.898148148152,1
4601,-3.9334,0.9215,188.628,3766,4.601,68.2200391,1.190664298134269,-2.31518016361921,-3.310700623732706,338.75185185185,1
4655,-3.8683,1.0053,201.2195,3766,4.655,79.08589210000005,1.3803092090219735,-1.7195294409689863,-3.607989950324264,233.1759259259252,1
4709,-4.1601,0.675,214.7256,3764,4.709,90.68107449999992,1.5826833192712693,-0.6255023987809182,-4.167829622131801,250.11296296296536,1
4763,-4.6195,-0.5077,240.1524,3738,4.763,103.6493041,1.8090216239458576,1.583463983223762,-4.369231208557536,470.86666666666457,1
4816,-4.9593,-1.1,256.5549,3466,4.816,117.24671379999998,2.046341192953472,3.2484289723713173,-3.905427723240904,309.4811320754716,1
4871,-4.9419,-1.3459,259.939,3090,4.871,131.54335880000014,2.2958647201922595,4.28474635184961,-2.806202259337602,61.529090909091074,1
4924,-4.6875,-1.5446,258.6281,3044,4.924,145.25064810000012,2.535102050000648,4.731902887916152,-1.402690439594844,-24.73396226415104,1
4978,-4.4453,-1.4009,251.7378,2892,4.978,158.84448929999996,2.7723593369339024,4.651291513082197,-0.2978257214035071,-127.59814814815007,1
5032,-4.6322,-1.5464,257.6524,2976,5.032,172.75771890000004,3.015191003039837,4.790191459172399,0.9501029336191974,109.5296296296292,1
5087,-4.5931,-0.9182,261.1281,3050,5.087,187.1197644,3.2658559843360715,4.44387854055674,1.480406149264213,63.1945454545461,1
5140,-4.5684,-0.4065,249.4512,3044,5.14,200.340678,3.496604456777768,4.142225494283594,1.969134013851528,-220.3188679245289,1
5194,-3.8396,0.167,202.5305,2964,5.194,211.277325,3.687484956056129,3.368272507607306,1.8507180969820307,-868.9018518518477,1
5249,-2.4109,0.635,125.0305,2984,5.249,218.1540025,3.807505620028941,2.2881072840590497,0.9900650820203278,-1409.090909090916,0
5302,-3.2326,1.2176,43.0488,3004,5.302,220.4355889,3.847326814877665,3.250173486687383,1.169882398548837,-1546.824528301889,0
5356,-2.8662,1.2188,30.0,3000,5.356,222.0555889,3.8756011487599737,2.944554730058266,1.0149745423859122,-241.6444444444432,0
5410,-2.3404,1.0105,3.75,2986,5.41,222.2580889,3.8791354404952623,2.411716581562404,0.8259573476983862,-486.1111111111087,0
5465,-2.3583,1.5271,2.8049,2982,5.465,222.4123584,3.881827951205668,2.771126579957054,0.463109898248266,-17.183636363636452,0
5518,-2.0427,1.645,-0.4268,2990,5.518,222.389738,3.8814331507475495,2.6176992393574183,0.1621696095684843,-60.97547169811328,0
