t,ax,ay,yawRate,steer
11738,0.0614,0.3249,-20.0000,2460,
11792,0.1865,0.3634,-24.1768,2390,
11845,0.3661,0.3707,-24.9085,2322,
11899,0.3944,0.5005,-28.0183,2332,
11954,0.4238,0.4215,-31.5854,2312,
12007,0.2892,0.4784,-29.0854,2292,
12061,0.3214,0.5221,-31.9207,2292,
12115,0.0311,0.3808,-29.2683,2294,
12170,0.0632,0.8357,-36.0976,2298,
12223,-0.0318,1.1134,-37.2866,2306,
12277,0.1421,1.4055,-41.1585,2324,
12332,0.1975,1.6147,-49.9390,2326,
12385,0.0335,2.0598,-54.0854,2332,
12439,0.2279,2.4585,-55.7317,2334,
12493,0.3193,2.7210,-64.0854,2336,
12548,0.2396,2.6729,-71.3720,2340,
12601,0.5700,2.9791,-77.1646,2394,
12655,0.3822,2.9177,-77.3171,2672,
12709,0.2680,2.7843,-72.2866,2918,
12763,-0.4775,2.9600,-46.9207,2986,
12817,-0.9964,2.6022,-21.4939,3076,
12871,-1.0571,2.5874,-5.2134,3284,
12925,-1.1287,2.3347,5.4573,3426,
12979,-1.4843,1.9243,42.7744,3500,
13033,-1.9741,1.5006,70.2744,3558,
13087,-2.5408,1.0243,88.7500,3560,
13142,-3.0828,0.7682,102.1951,3508,
13195,-3.3444,0.4814,105.5488,3328,
13249,-3.1908,0.6294,101.1585,3170,
13303,-2.9783,0.5380,78.2622,3058,
13357,-2.7303,0.8245,52.5915,3004,
13411,-2.1593,0.6433,35.6402,2984,
13465,-2.0761,0.8819,24.8780,2996,
13519,-2.1066,1.0177,20.7012,2994,
13573,-2.0239,1.0627,17.4085,2980,
13627,-1.8226,1.3582,20.0915,2990,
13681,-1.4528,1.3135,13.0793,2992,
13734,-1.3686,1.2668,17.3171,2978,
13789,-1.2711,1.3175,18.2012,2978,
13842,-1.0447,0.6503,17.7439,2992,
13896,-0.6418,0.1990,15.5488,2992,
13950,-0.1567,-0.3067,13.3537,2980,
14004,0.1409,-0.6289,12.8659,2978,
14058,0.0064,-0.5319,13.2012,2972,
14112,0.0468,-0.7727,8.4451,2790,
14167,-0.0497,-0.8058,7.0122,2564,
14220,0.0531,-0.5101,-9.0854,2384,
14274,0.4979,-0.1883,-22.3171,2300,
14328,1.0390,-0.0261,-34.5732,2234,
14383,1.1913,-0.2067,-45.4268,2176,
14436,1.1771,0.1291,-47.6220,2132,
14490,1.4938,-0.0461,-51.6463,2078,
14544,1.4661,-0.0522,-51.7073,2008,
14599,1.3601,0.1263,-53.1402,1986,
14652,1.0215,0.1130,-55.6098,1982,
14706,0.7985,0.2101,-54.0854,1980,
14760,0.7264,0.2859,-50.2439,1976,
14815,0.5807,0.3020,-46.0366,1976,
14868,0.5244,0.4389,-43.1098,1986,
14922,0.3865,0.4402,-41.7073,2000,
14977,0.2886,0.4469,-37.1037,2006,
15030,0.2697,0.4648,-34.6646,2024,
15084,0.1889,0.3776,-32.1037,2022,
15138,0.2268,0.3864,-27.9878,2022,
15193,0.0967,0.4178,-25.6707,2020,
15246,0.2148,0.4415,-22.3476,2022,
15300,0.1771,0.4542,-20.3963,2048,
15354,0.1354,0.5353,-16.9207,2048,
15408,0.2616,0.5853,-15.4878,2048,
15462,0.3227,0.6689,-12.0122,2048,
15516,0.0011,0.8382,-11.2500,2050,
15570,0.1134,1.6483,-25.6098,2052,
15624,0.2439,2.2989,-47.4390,2054,
15678,0.0831,2.8681,-70.7927,2056,
15732,0.2374,3.3800,-84.4512,2056,
15787,0.2349,3.7354,-103.0488,2058,
15840,0.5251,4.1256,-105.6707,2058,
15894,0.7974,4.3898,-114.2988,2102,
15948,1.1694,3.9960,-128.5366,2224,
16002,0.7387,4.1684,-137.9268,2358,
16056,1.2029,3.8427,-140.3354,3060,
16110,1.3220,4.3570,-131.7683,3220,
16164,0.9417,4.1627,-95.6707,2990,
16218,-0.0305,4.4770,-41.1890,2990,
16272,0.5468,4.6537,2.1341,2968,
16326,0.5495,4.4551,0.7622,2982,
16379,0.9865,3.8265,2.1951,2986,
16434,0.9276,3.4850,10.6402,2976,
