t,ax,ay,yawRate,steer
12535,-3.5138,-0.5626,128.4756,2958,
12590,-3.4038,-0.4281,124.7561,2964,
12643,-3.6113,-0.2659,126.1585,2956,
12697,-3.5728,-0.3204,128.5671,2978,
12751,-3.8212,-0.3751,135.6707,2988,
12805,-3.8997,-0.0386,138.5976,2988,
12859,-4.2364,-0.2014,144.8171,3086,
12913,-3.9719,-0.2209,148.7500,3328,
12967,-3.9834,-0.1054,153.7195,3346,
13021,-3.8858,0.1029,163.1707,3192,
13075,-4.4590,0.0770,171.6463,3060,
13128,-4.2227,-0.0471,177.5610,3012,
13182,-4.3368,-0.4523,188.5671,3010,
13237,-4.0503,-1.0035,197.5915,2998,
13290,-4.1242,-1.2553,215.8232,2992,
13344,-4.3365,-1.6349,222.0732,2992,
13399,-3.9413,-1.6761,224.7866,2978,
13453,-3.5122,-1.6833,200.0305,2980,
13506,-3.1895,-1.4735,171.2195,2992,
13560,-2.7383,-1.3680,137.4695,2992,
13615,-2.4617,-1.1499,104.7866,2978,
13668,-2.2533,-0.9941,70.5488,2990,
